Country,Region,HappinessScore,HappinessRank,GDPPerCapita,Family,LifeExpectancy,Freedom,GovernmentTrust,Generosity,Hemisphere,RealGDPPerCapita,Alcohol,Consumption
Japan,Eastern Asia,5.921,53,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,North,38.972,BeerPerCapita,77
Kazakhstan,Central and Eastern Europe,5.919,54,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,North,7.715,BeerPerCapita,124
Moldova,Central and Eastern Europe,5.897,55,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,North,1.913,BeerPerCapita,109
Poland,Central and Eastern Europe,5.835,57,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,North,12.415,BeerPerCapita,343
South Korea,Eastern Asia,5.835,57,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,North,27.105,BeerPerCapita,140
Bolivia,Latin America and Caribbean,5.822,59,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,South,3.117,BeerPerCapita,167
Lithuania,Central and Eastern Europe,5.813,60,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,North,14.913,BeerPerCapita,343
Belarus,Central and Eastern Europe,5.802,61,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,North,5.023,BeerPerCapita,142
Slovenia,Central and Eastern Europe,5.768,63,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,North,21.65,BeerPerCapita,270
Peru,Latin America and Caribbean,5.743,64,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,Both,6.031,BeerPerCapita,163
Turkmenistan,Central and Eastern Europe,5.658,65,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,North,6.389,BeerPerCapita,19
Mauritius,Sub-Saharan Africa,5.648,66,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,North,9.682,BeerPerCapita,98
Latvia,Central and Eastern Europe,5.56,68,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,North,14.07,BeerPerCapita,281
Cyprus,Western Europe,5.546,69,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,North,23.541,BeerPerCapita,192
Paraguay,Latin America and Caribbean,5.538,70,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,South,4.078,BeerPerCapita,213
Romania,Central and Eastern Europe,5.528,71,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,North,9.532,BeerPerCapita,297
Estonia,Central and Eastern Europe,5.517,72,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,North,17.737,BeerPerCapita,224
Jamaica,Latin America and Caribbean,5.51,73,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,North,4.879,BeerPerCapita,82
Croatia,Central and Eastern Europe,5.488,74,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,North,12.299,BeerPerCapita,230
Turkey,Middle East and Northern Africa,5.389,78,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,North,10.863,BeerPerCapita,51
Jordan,Middle East and Northern Africa,5.303,80,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,North,4.088,BeerPerCapita,6
Azerbaijan,Central and Eastern Europe,5.291,81,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,North,3.881,BeerPerCapita,21
Philippines,Southeastern Asia,5.279,82,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,North,2.951,BeerPerCapita,71
China,Eastern Asia,5.245,83,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,North,8.117,BeerPerCapita,79
Kyrgyzstan,Central and Eastern Europe,5.185,85,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,North,1.22,BeerPerCapita,31
Serbia,Central and Eastern Europe,5.177,86,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,North,5.426,BeerPerCapita,283
Bosnia and Herzegovina,Central and Eastern Europe,5.163,87,0.93383,0.64367,0.70766,0.09511,0,0.29889,North,4.809,BeerPerCapita,76
Montenegro,Central and Eastern Europe,5.161,88,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,North,7.029,BeerPerCapita,31
Dominican Republic,Latin America and Caribbean,5.155,89,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,North,6.794,BeerPerCapita,193
Morocco,Middle East and Northern Africa,5.151,90,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,North,2.893,BeerPerCapita,12
Hungary,Central and Eastern Europe,5.145,91,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,North,12.82,BeerPerCapita,234
